GeneName	Geneid	type
RP11-395B7.7	ENSG00000260336	gene
SERPINE1	ENSG00000106366	gene
AP1S1	ENSG00000106367	gene
MIR4653	ENSG00000264425	gene
VGF	ENSG00000128564	gene
NAT16	ENSG00000167011	gene
MOGAT3	ENSG00000106384	gene
DGAT2L7P	ENSG00000205267	gene
RP4-747G18.5	ENSG00000213394	gene
PLOD3	ENSG00000106397	gene
ZNHIT1	ENSG00000106400	gene
CLDN15	ENSG00000106404	gene
FIS1	ENSG00000214253	gene
U6	ENSG00000207454	gene
AZGP1P2	ENSG00000214252	gene
RP11-132A1.3	ENSG00000232301	gene
RP11-132A1.4	ENSG00000232445	gene
RABL5	ENSG00000128581	gene
EMID2	ENSG00000160963	gene
RP5-1106H14.1	ENSG00000233683	gene
RP5-1059M17.1	ENSG00000233123	gene
MYL10	ENSG00000106436	gene
CUX1	ENSG00000257923	gene
CTA-339C12.1	ENSG00000259294	gene
CTA-305I2.1	ENSG00000259263	gene
AC005086.1	ENSG00000230110	gene
AC005086.3	ENSG00000258040	gene
CTA-305I2.2	ENSG00000259643	gene
AC005086.2	ENSG00000256295	gene
AC005086.4	ENSG00000258093	gene
SNORA48	ENSG00000252824	gene
AC005088.1	ENSG00000264642	gene
SH2B2	ENSG00000160999	gene
MIR4285	ENSG00000264675	gene
CTA-313A17.2	ENSG00000170409	gene
Y_RNA	ENSG00000200552	gene
CTA-313A17.3	ENSG00000228546	gene
CTA-313A17.4	ENSG00000166667	gene
CTA-313A17.5	ENSG00000259313	gene
PRKRIP1	ENSG00000128563	gene
RP11-163E9.2	ENSG00000239969	gene
RP11-163E9.1	ENSG00000239486	gene
MIR548O	ENSG00000221510	gene
RP11-514P8.2	ENSG00000239480	gene
ORAI2	ENSG00000160991	gene
ALKBH4	ENSG00000160993	gene
LRWD1	ENSG00000161036	gene
MIR5090	ENSG00000266715	gene
MIR4467	ENSG00000264471	gene
POLR2J	ENSG00000005075	gene
AC093668.3	ENSG00000256604	gene
AC093668.4	ENSG00000264132	gene
RASA4B	ENSG00000170667	gene
AC093668.2	ENSG00000238392	gene
POLR2J3	ENSG00000168255	gene
POLR2J2	ENSG00000228049	gene
SPDYE2	ENSG00000205238	gene
AC093668.1	ENSG00000189093	gene
RASA4	ENSG00000105808	gene
UPK3BL	ENSG00000205236	gene
AC105052.2	ENSG00000238997	gene
UPK3BL	ENSG00000267368	gene
POLR2J2	ENSG00000267645	gene
SPDYE6	ENSG00000173678	gene
AC105052.1	ENSG00000205233	gene
RASA4DP	ENSG00000233297	gene
FAM185A	ENSG00000222011	gene
RP11-577H5.1	ENSG00000213385	gene
FBXL13	ENSG00000161040	gene
U6	ENSG00000252643	gene
7SK	ENSG00000238324	gene
LRRC17	ENSG00000128606	gene
RP11-645N11.2	ENSG00000230257	gene
AC073127.1	ENSG00000264045	gene
RP11-645N11.3	ENSG00000236226	gene
ARMC10	ENSG00000170632	gene
CRYZP1	ENSG00000233025	gene
NAPEPLD	ENSG00000161048	gene
RPL19P12	ENSG00000224415	gene
RP11-401L13.5	ENSG00000236848	gene
DPY19L2P2	ENSG00000170629	gene
S100A11P1	ENSG00000237632	gene
PMPCB	ENSG00000105819	gene
DNAJC2	ENSG00000105821	gene
PSMC2	ENSG00000161057	gene
CTA-276O3.4	ENSG00000235354	gene
SLC26A5	ENSG00000170615	gene
Y_RNA	ENSG00000251852	gene
Y_RNA	ENSG00000252047	gene
CTB-107G13.1	ENSG00000234715	gene
RELN	ENSG00000189056	gene
7SK	ENSG00000222386	gene
ORC5	ENSG00000164815	gene
LHFPL3	ENSG00000187416	gene
EIF4BP6	ENSG00000197258	gene
LHFPL3-AS1	ENSG00000226869	gene
RP11-203P23.2	ENSG00000237606	gene
Metazoa_SRP	ENSG00000243352	gene
RP11-325F22.5	ENSG00000225329	gene
RP11-325F22.2	ENSG00000237513	gene
RP11-325F22.3	ENSG00000228393	gene
SNORD112	ENSG00000251911	gene
RP11-325F22.4	ENSG00000239569	gene
AC007384.1	ENSG00000265131	gene
MLL5	ENSG00000005483	gene
SRPK2	ENSG00000135250	gene
RP4-778K6.1	ENSG00000213361	gene
RWDD4P1	ENSG00000244490	gene
RP4-778K6.3	ENSG00000242154	gene
U6	ENSG00000201179	gene
PUS7	ENSG00000091127	gene
RP11-251G23.2	ENSG00000223886	gene
RINT1	ENSG00000135249	gene
EFCAB10	ENSG00000185055	gene
YBX1P2	ENSG00000231167	gene
ATXN7L1	ENSG00000146776	gene
CTA-351J1.1	ENSG00000226624	gene
CDHR3	ENSG00000128536	gene
SYPL1	ENSG00000008282	gene
DCAF13P1	ENSG00000242562	gene
U6	ENSG00000201796	gene
NAMPT	ENSG00000105835	gene
LARP1BP2	ENSG00000243438	gene
CTB-111H14.1	ENSG00000243797	gene
CTB-30L5.1	ENSG00000267052	gene
CCDC71L	ENSG00000253276	gene
AC004917.1	ENSG00000177820	gene
RP5-884M6.1	ENSG00000228742	gene
RNA5SP236	ENSG00000251978	gene
PIK3CG	ENSG00000105851	gene
PRKAR2B	ENSG00000005249	gene
CTA-360L10.1	ENSG00000243193	gene
HBP1	ENSG00000105856	gene
COG5	ENSG00000164597	gene
AC004492.1	ENSG00000221356	gene
CTB-20D2.1	ENSG00000228341	gene
GPR22	ENSG00000172209	gene
DUS4L	ENSG00000105865	gene
BCAP29	ENSG00000075790	gene
snoU109	ENSG00000238832	gene
WBP1LP2	ENSG00000250474	gene
BANF1P5	ENSG00000225935	gene
SLC26A4-AS1	ENSG00000233705	gene
SLC26A4	ENSG00000091137	gene
AC002467.5	ENSG00000241292	gene
AC002467.7	ENSG00000241764	gene
CBLL1	ENSG00000105879	gene
SLC26A3	ENSG00000091138	gene
AC005046.5	ENSG00000229626	gene
DLD	ENSG00000091140	gene
LAMB1	ENSG00000091136	gene
U3	ENSG00000238297	gene
LAMB4	ENSG00000091128	gene
AC005048.1	ENSG00000216085	gene
NRCAM	ENSG00000091129	gene
AC007567.1	ENSG00000266112	gene
PNPLA8	ENSG00000135241	gene
CTB-54D4.1	ENSG00000231006	gene
THAP5	ENSG00000177683	gene
DNAJB9	ENSG00000128590	gene
AC005487.2	ENSG00000225647	gene
C7orf66	ENSG00000205174	gene
FLJ00325	ENSG00000269185	gene
AC004014.3	ENSG00000229603	gene
AC004014.4	ENSG00000227968	gene
AC002386.1	ENSG00000230941	gene
AC073071.1	ENSG00000234273	gene
AC073387.2	ENSG00000230192	gene
EIF3IP1	ENSG00000237064	gene
RPL3P8	ENSG00000232199	gene
AC003088.1	ENSG00000226965	gene
IMMP2L	ENSG00000184903	gene
IMMP2L-IT1	ENSG00000228540	gene
AC005161.1	ENSG00000221279	gene
LRRN3	ENSG00000173114	gene
snoU13	ENSG00000238922	gene
AC003989.3	ENSG00000243621	gene
AC003989.4	ENSG00000227948	gene
DOCK4	ENSG00000128512	gene
AC003077.1	ENSG00000225572	gene
RNA5SP237	ENSG00000222346	gene
AC003080.4	ENSG00000234358	gene
ZNF277	ENSG00000198839	gene
7SK	ENSG00000202406	gene
AC004112.4	ENSG00000226851	gene
MTND5P8	ENSG00000230999	gene
AC004112.5	ENSG00000232922	gene
AC004112.7	ENSG00000236232	gene
IFRD1	ENSG00000006652	gene
AC079741.2	ENSG00000180019	gene
C7orf53	ENSG00000181016	gene
NPM1P14	ENSG00000182965	gene
AC002463.3	ENSG00000223646	gene
MIPEPP1	ENSG00000225358	gene
TMEM168	ENSG00000146802	gene
C7orf60	ENSG00000164603	gene
AC018464.3	ENSG00000234520	gene
GPR85	ENSG00000164604	gene
RP11-736E3.1	ENSG00000225457	gene
AC073346.2	ENSG00000214194	gene
TSRM	ENSG00000236294	gene
PPP1R3A	ENSG00000154415	gene
FOXP2	ENSG00000128573	gene
RP11-95P9.1	ENSG00000236580	gene
AC073626.2	ENSG00000224595	gene
RNA5SP238	ENSG00000202334	gene
AC020606.1	ENSG00000266229	gene
MIR3666	ENSG00000266031	gene
MDFIC	ENSG00000135272	gene
AC068610.5	ENSG00000233607	gene
AC068610.3	ENSG00000225535	gene
RAC1P6	ENSG00000226962	gene
Y_RNA	ENSG00000199764	gene
RP11-222O23.1	ENSG00000244565	gene
SNORA25	ENSG00000202377	gene
RP11-458K10.1	ENSG00000242072	gene
RP11-458K10.2	ENSG00000240973	gene
RP11-458K10.3	ENSG00000243345	gene
Y_RNA	ENSG00000199224	gene
TFEC	ENSG00000105967	gene
TES	ENSG00000135269	gene
AC073130.3	ENSG00000243243	gene
AC002066.1	ENSG00000237813	gene
AC073130.1	ENSG00000237870	gene
CAV2	ENSG00000105971	gene
AC002066.2	ENSG00000216076	gene
snoZ185	ENSG00000252672	gene
CAV1	ENSG00000105974	gene
AC006159.5	ENSG00000235427	gene
AC006159.4	ENSG00000243220	gene
AC006159.3	ENSG00000231210	gene
MET	ENSG00000105976	gene
CAPZA2	ENSG00000198898	gene
AC002543.2	ENSG00000235945	gene
Y_RNA	ENSG00000252115	gene
RNA5SP239	ENSG00000222150	gene
ST7-AS1	ENSG00000227199	gene
ST7	ENSG00000004866	gene
ST7-OT4	ENSG00000214188	gene
AC106873.4	ENSG00000228368	gene
TPM3P1	ENSG00000213050	gene
ST7-AS2	ENSG00000226367	gene
AC002542.2	ENSG00000227532	gene
AC006326.3	ENSG00000230785	gene
MTND4P6	ENSG00000224042	gene
AC006326.5	ENSG00000230605	gene
WNT2	ENSG00000105989	gene
AC002465.2	ENSG00000238202	gene
ASZ1	ENSG00000154438	gene
AC003045.1	ENSG00000214684	gene
CFTR	ENSG00000001626	gene
AC000111.4	ENSG00000237974	gene
AC000111.3	ENSG00000232661	gene
AC000111.5	ENSG00000234001	gene
AC000111.6	ENSG00000083622	gene
CTTNBP2	ENSG00000077063	gene
AC007568.1	ENSG00000224136	gene
AC003084.2	ENSG00000234826	gene
NAA38	ENSG00000128534	gene
ANKRD7	ENSG00000106013	gene
AC006926.1	ENSG00000222226	gene
RP11-515K14.1	ENSG00000229982	gene
RP11-533K11.1	ENSG00000230520	gene
AC091320.2	ENSG00000263692	gene
AC091320.1	ENSG00000256882	gene
RP11-328J2.1	ENSG00000225546	gene
U1	ENSG00000194647	gene
RP4-742N3.1	ENSG00000233417	gene
RP5-1006K12.1	ENSG00000233969	gene
KCND2	ENSG00000184408	gene
U6	ENSG00000252023	gene
RP4-797C5.2	ENSG00000231295	gene
TSPAN12	ENSG00000106025	gene
ING3	ENSG00000071243	gene
RNA5SP240	ENSG00000202225	gene
CPED1	ENSG00000106034	gene
HMGN1P18	ENSG00000234927	gene
RNA5SP241	ENSG00000212628	gene
U6	ENSG00000207090	gene
WNT16	ENSG00000002745	gene
FAM3C	ENSG00000196937	gene
RP11-3L10.1	ENSG00000213310	gene
RP11-3L10.2	ENSG00000227371	gene
RP11-3L10.3	ENSG00000234985	gene
AC004875.1	ENSG00000221690	gene
RP4-745K6.1	ENSG00000227743	gene
7SK	ENSG00000252704	gene
PNPT1P2	ENSG00000233272	gene
PTPRZ1	ENSG00000106278	gene
AASS	ENSG00000008311	gene
U7	ENSG00000252003	gene
RP5-1049N15.2	ENSG00000226636	gene
RP11-560I19.1	ENSG00000234418	gene
RP11-560I19.2	ENSG00000213302	gene
FEZF1	ENSG00000128610	gene
FEZF1-AS1	ENSG00000230316	gene
CADPS2	ENSG00000081803	gene
RP5-1101C3.1	ENSG00000240499	gene
RP11-395G17.1	ENSG00000225795	gene
RPS26P31	ENSG00000235459	gene
RNF133	ENSG00000188050	gene
RNF148	ENSG00000235631	gene
RP5-1166A24.1	ENSG00000227573	gene
TAS2R16	ENSG00000128519	gene
RP11-61D3.1	ENSG00000226680	gene
SLC13A1	ENSG00000081800	gene
LYPLA1P1	ENSG00000223595	gene
IQUB	ENSG00000164675	gene
RP11-332K15.1	ENSG00000232524	gene
U6	ENSG00000207338	gene
NDUFA5	ENSG00000128609	gene
ASB15	ENSG00000146809	gene
RP11-390E23.3	ENSG00000230442	gene
LMOD2	ENSG00000170807	gene
WASL	ENSG00000106299	gene
RNU6-11	ENSG00000201104	gene
HYALP1	ENSG00000228211	gene
HYAL4	ENSG00000106302	gene
SPAM1	ENSG00000106304	gene
RP4-630C24.1	ENSG00000225583	gene
RP4-630C24.3	ENSG00000241345	gene
TMEM229A	ENSG00000234224	gene
RP5-921G16.1	ENSG00000242593	gene
RP11-264K23.1	ENSG00000243574	gene
RP5-921G16.2	ENSG00000241324	gene
SSU72P8	ENSG00000230268	gene
RP5-1106E3.1	ENSG00000213296	gene
U6	ENSG00000207214	gene
GPR37	ENSG00000170775	gene
POT1	ENSG00000128513	gene
RP11-3B12.1	ENSG00000224897	gene
RP11-319G5.1	ENSG00000186676	gene
RP11-3B12.5	ENSG00000224899	gene
RP11-3B12.4	ENSG00000205898	gene
RP11-3B12.2	ENSG00000237764	gene
RP11-3B12.3	ENSG00000219445	gene
RP11-420H19.3	ENSG00000213291	gene
RP11-420H19.1	ENSG00000234071	gene
RP11-420H19.2	ENSG00000227847	gene
RP11-807H17.1	ENSG00000227869	gene
AC005276.1	ENSG00000197462	gene
AC003968.1	ENSG00000221418	gene
AC000370.2	ENSG00000241921	gene
GRM8	ENSG00000179603	gene
AC000374.1	ENSG00000227249	gene
AC000367.1	ENSG00000224981	gene
AC000362.1	ENSG00000230820	gene
MIR592	ENSG00000207692	gene
AC000364.1	ENSG00000230206	gene
AC000099.1	ENSG00000236340	gene
AC000110.1	ENSG00000236105	gene
ZNF800	ENSG00000048405	gene
AC000123.4	ENSG00000224138	gene
AC000124.1	ENSG00000226770	gene
GCC1	ENSG00000179562	gene
ARF5	ENSG00000004059	gene
FSCN3	ENSG00000106328	gene
PAX4	ENSG00000106331	gene
AC073934.6	ENSG00000240790	gene
SND1	ENSG00000197157	gene
RP11-20L24.1	ENSG00000240579	gene
LRRC4	ENSG00000128594	gene
MIR593	ENSG00000207588	gene
MIR129-1	ENSG00000207705	gene
LEP	ENSG00000174697	gene
AC018635.1	ENSG00000221429	gene
RP11-62J1.3	ENSG00000242261	gene
RBM28	ENSG00000106344	gene
RNU7-27P	ENSG00000238750	gene
PRRT4	ENSG00000224940	gene
IMPDH1	ENSG00000106348	gene
RP11-155G14.1	ENSG00000228700	gene
RNU7-54P	ENSG00000238590	gene
METTL2B	ENSG00000165055	gene
HILPDA	ENSG00000135245	gene
RP11-155G14.5	ENSG00000240758	gene
RP11-274B21.1	ENSG00000242588	gene
RP11-212P7.1	ENSG00000213280	gene
U6	ENSG00000223189	gene
RP11-274B21.2	ENSG00000243302	gene
RP11-274B21.4	ENSG00000230715	gene
AC018638.1	ENSG00000229413	gene
RP11-274B21.3	ENSG00000243679	gene
RP11-274B21.5	ENSG00000241493	gene
FAM71F2	ENSG00000205085	gene
RP11-274B21.7	ENSG00000239722	gene
RNA5SP242	ENSG00000201041	gene
RNA5SP243	ENSG00000252866	gene
FAM71F1	ENSG00000135248	gene
CALU	ENSG00000128595	gene
Metazoa_SRP	ENSG00000244218	gene
OPN1SW	ENSG00000128617	gene
CCDC136	ENSG00000128596	gene
FLNC	ENSG00000128591	gene
RP11-309L24.2	ENSG00000242902	gene
KCP	ENSG00000135253	gene
ATP6V1F	ENSG00000128524	gene
RP11-309L24.4	ENSG00000239815	gene
AC025594.1	ENSG00000221401	gene
RP11-309L24.6	ENSG00000224163	gene
IRF5	ENSG00000128604	gene
TNPO3	ENSG00000064419	gene
Metazoa_SRP	ENSG00000242241	gene
RP11-128A6.2	ENSG00000244556	gene
TPI1P2	ENSG00000230359	gene
snoU13	ENSG00000238733	gene
RP11-128A6.3	ENSG00000242162	gene
RP11-286H14.2	ENSG00000241102	gene
RP11-286H14.1	ENSG00000241573	gene
RP11-286H14.3	ENSG00000240416	gene
RP11-286H14.4	ENSG00000230626	gene
TSPAN33	ENSG00000158457	gene
Y_RNA	ENSG00000200629	gene
RP11-286H14.6	ENSG00000240685	gene
SMO	ENSG00000128602	gene
RP11-286H14.8	ENSG00000243230	gene
AHCYL2	ENSG00000158467	gene
RNU7-16P	ENSG00000252280	gene
RP11-305M3.2	ENSG00000238072	gene
STRIP2	ENSG00000128578	gene
SNRPGP3	ENSG00000239919	gene
U1	ENSG00000199846	gene
RP11-305M3.3	ENSG00000240204	gene
NRF1	ENSG00000106459	gene
RNA5SP244	ENSG00000212238	gene
MIR182	ENSG00000207990	gene
MIR96	ENSG00000199158	gene
MIR183	ENSG00000207691	gene
RP11-738B7.1	ENSG00000242078	gene
UBE2H	ENSG00000186591	gene
RP11-306G20.1	ENSG00000244036	gene
Y_RNA	ENSG00000199516	gene
Y_RNA	ENSG00000207184	gene
AC073320.1	ENSG00000263557	gene
ZC3HC1	ENSG00000091732	gene
RNA5SP245	ENSG00000201109	gene
KLHDC10	ENSG00000128607	gene
RP11-775D22.2	ENSG00000229196	gene
TMEM209	ENSG00000146842	gene
RP11-775D22.3	ENSG00000240571	gene
C7orf45	ENSG00000165120	gene
CPA2	ENSG00000158516	gene
CPA4	ENSG00000128510	gene
snoU13	ENSG00000238336	gene
snoU13	ENSG00000239044	gene
CPA5	ENSG00000158525	gene
CPA1	ENSG00000091704	gene
CEP41	ENSG00000106477	gene
RP11-2E11.5	ENSG00000259920	gene
MEST	ENSG00000106484	gene
MIR335	ENSG00000199043	gene
COPG2	ENSG00000158623	gene
RNA5SP246	ENSG00000239021	gene
AC009274.6	ENSG00000226045	gene
TSGA13	ENSG00000213265	gene
KLF14	ENSG00000174595	gene
AC016831.5	ENSG00000229858	gene
AC016831.3	ENSG00000240680	gene
AC016831.6	ENSG00000232716	gene
AC016831.7	ENSG00000233559	gene
MIR29A	ENSG00000198981	gene
MIR29B1	ENSG00000207748	gene
AC058791.1	ENSG00000226380	gene
AC058791.2	ENSG00000231721	gene
U6	ENSG00000199627	gene
MKLN1	ENSG00000128585	gene
AC009362.2	ENSG00000233287	gene
AC018642.1	ENSG00000236753	gene
PODXL	ENSG00000128567	gene
AC008264.4	ENSG00000224545	gene
AC093106.7	ENSG00000213261	gene
AC093106.4	ENSG00000236238	gene
AC093106.6	ENSG00000236395	gene
AC093106.5	ENSG00000236281	gene
AC008085.1	ENSG00000252811	gene
AC009518.2	ENSG00000233263	gene
AC009518.3	ENSG00000236386	gene
AC009518.4	ENSG00000243416	gene
AC009518.5	ENSG00000224865	gene
snosnR60_Z15	ENSG00000252849	gene
AC105443.2	ENSG00000229532	gene
PLXNA4	ENSG00000221866	gene
AC018643.4	ENSG00000225144	gene
AC011625.1	ENSG00000223436	gene
AC009365.3	ENSG00000183470	gene
SNORD46	ENSG00000201009	gene
AC009365.4	ENSG00000225881	gene
CHCHD3	ENSG00000106554	gene
AC009518.8	ENSG00000227197	gene
hsa-mir-3654	ENSG00000232856	gene
U6	ENSG00000251736	gene
AC083873.4	ENSG00000237821	gene
EXOC4	ENSG00000131558	gene
AC083875.1	ENSG00000238844	gene
AC083875.2	ENSG00000235429	gene
COX5BP3	ENSG00000235967	gene
AC007790.4	ENSG00000226205	gene
LRGUK	ENSG00000155530	gene
AC008154.4	ENSG00000231098	gene
SLC35B4	ENSG00000205060	gene
AC008154.5	ENSG00000229177	gene
AKR1B1	ENSG00000085662	gene
AKR1B10	ENSG00000198074	gene
AKR1B15	ENSG00000227471	gene
BPGM	ENSG00000172331	gene
AC009276.4	ENSG00000224375	gene
AC083874.3	ENSG00000230101	gene
CALD1	ENSG00000122786	gene
AGBL3	ENSG00000146856	gene
C7orf49	ENSG00000122783	gene
AC083862.6	ENSG00000223500	gene
AC083862.1	ENSG00000229974	gene
TMEM140	ENSG00000146859	gene
WDR91	ENSG00000105875	gene
AC009542.2	ENSG00000231794	gene
STRA8	ENSG00000146857	gene
CNOT4	ENSG00000080802	gene
SDHDP2	ENSG00000227073	gene
NUP205	ENSG00000155561	gene
AC093107.7	ENSG00000223718	gene
C7orf73	ENSG00000243317	gene
U6	ENSG00000212303	gene
SLC13A4	ENSG00000164707	gene
AC091736.11	ENSG00000223388	gene
AC091736.10	ENSG00000239652	gene
FAM180A	ENSG00000189320	gene
AC091736.1	ENSG00000222219	gene
AC015987.1	ENSG00000224746	gene
MTPN	ENSG00000105887	gene
AC015987.2	ENSG00000236338	gene
LUZP6	ENSG00000267697	gene
U6	ENSG00000199700	gene
AC024084.1	ENSG00000230649	gene
AC009784.3	ENSG00000232053	gene
Y_RNA	ENSG00000206705	gene
AC009784.1	ENSG00000220982	gene
AC009784.4	ENSG00000236503	gene
AC009541.1	ENSG00000226066	gene
AC009264.1	ENSG00000234352	gene
PSMC1P3	ENSG00000231244	gene
snoU13	ENSG00000238488	gene
CHRM2	ENSG00000181072	gene
MIR490	ENSG00000207597	gene
AC020581.4	ENSG00000223657	gene
AC009517.2	ENSG00000224469	gene
PTN	ENSG00000105894	gene
SNORD81	ENSG00000202023	gene
AC078842.4	ENSG00000231114	gene
AC078842.3	ENSG00000228031	gene
DGKI	ENSG00000157680	gene
AC009245.3	ENSG00000230383	gene
CREB3L2	ENSG00000182158	gene
AC022173.2	ENSG00000237243	gene
AKR1D1	ENSG00000122787	gene
AC009263.2	ENSG00000234639	gene
AC024082.3	ENSG00000231923	gene
AC024082.4	ENSG00000231931	gene
AC024082.1	ENSG00000221558	gene
7SK	ENSG00000222514	gene
snoU13	ENSG00000239145	gene
RCC2P3	ENSG00000233951	gene
MIR4468	ENSG00000266193	gene
AC083867.4	ENSG00000225559	gene
Y_RNA	ENSG00000252820	gene
snoU13	ENSG00000238984	gene
SNORA51	ENSG00000201465	gene
AC008155.2	ENSG00000213238	gene
AC008155.1	ENSG00000213237	gene
Y_RNA	ENSG00000202072	gene
AC008265.2	ENSG00000214815	gene
TRIM24	ENSG00000122779	gene
snoU13	ENSG00000239123	gene
AC013429.5	ENSG00000234995	gene
SVOPL	ENSG00000157703	gene
SNORA40	ENSG00000252188	gene
AC013429.4	ENSG00000234658	gene
AC020983.5	ENSG00000243099	gene
UQCRFS1P2	ENSG00000223721	gene
ATP6V0A4	ENSG00000105929	gene
TMEM213	ENSG00000214128	gene
KIAA1549	ENSG00000122778	gene
U6	ENSG00000199646	gene
ZC3HAV1L	ENSG00000146858	gene
ZC3HAV1	ENSG00000105939	gene
RP11-383F6.1	ENSG00000229677	gene
TTC26	ENSG00000105948	gene
RP11-365F18.3	ENSG00000239254	gene
RP11-365F18.1	ENSG00000228360	gene
UBN2	ENSG00000157741	gene
U6	ENSG00000206843	gene
C7orf55	ENSG00000164898	gene
LUC7L2	ENSG00000146963	gene
PP12708	ENSG00000214117	gene
U6	ENSG00000252332	gene
KLRG2	ENSG00000188883	gene
RP4-701O16.5	ENSG00000253183	gene
CLEC2L	ENSG00000236279	gene
ERHP1	ENSG00000254270	gene
HIPK2	ENSG00000064393	gene
TBXAS1	ENSG00000059377	gene
PARP12	ENSG00000059378	gene
JHDM1D	ENSG00000006459	gene
Y_RNA	ENSG00000251728	gene
RP4-659J6.2	ENSG00000260231	gene
U6	ENSG00000199971	gene
U1	ENSG00000199283	gene
PPP1R2P6	ENSG00000241661	gene
SLC37A3	ENSG00000157800	gene
RNA5SP247	ENSG00000223113	gene
snoU13	ENSG00000238868	gene
RNA5SP248	ENSG00000202472	gene
RAB19	ENSG00000146955	gene
RP11-723C11.2	ENSG00000103200	gene
MKRN1	ENSG00000133606	gene
DENND2A	ENSG00000146966	gene
AC006452.1	ENSG00000221732	gene
Y_RNA	ENSG00000201354	gene
Metazoa_SRP	ENSG00000240173	gene
ADCK2	ENSG00000133597	gene
NDUFB2	ENSG00000090266	gene
NDUFB2-AS1	ENSG00000240889	gene
BRAF	ENSG00000157764	gene
U6	ENSG00000207040	gene
CCT4P1	ENSG00000242703	gene
MRPS33	ENSG00000090263	gene
U4	ENSG00000223212	gene
TMEM178B	ENSG00000261115	gene
RP5-1173P7.1	ENSG00000261778	gene
RP5-914M6.1	ENSG00000261624	gene
RP5-842K16.1	ENSG00000204990	gene
RP5-842K16.2	ENSG00000261629	gene
RP11-744I24.3	ENSG00000261797	gene
RP11-744I24.2	ENSG00000261570	gene
AGK	ENSG00000006530	gene
RP5-894A10.2	ENSG00000244701	gene
KIAA1147	ENSG00000257093	gene
RP5-894A10.5	ENSG00000228775	gene
WEE2	ENSG00000214102	gene
U1	ENSG00000212153	gene
SSBP1	ENSG00000106028	gene
TAS2R3	ENSG00000127362	gene
TAS2R4	ENSG00000127364	gene
TAS2R5	ENSG00000127366	gene
RP5-1154E9.7	ENSG00000241926	gene
MTND2P5	ENSG00000224354	gene
MTND1P3	ENSG00000239648	gene
MYL6P4	ENSG00000240677	gene
PRSS37	ENSG00000165076	gene
AC073647.1	ENSG00000265523	gene
OR9A3P	ENSG00000240031	gene
OR9A1P	ENSG00000237621	gene
MGAM	ENSG00000257335	gene
RP11-707F14.3	ENSG00000244292	gene
OR9A4	ENSG00000258083	gene
CLEC5A	ENSG00000258227	gene
TAS2R38	ENSG00000257138	gene
RP11-1220K2.2	ENSG00000257743	gene
MOXD2P	ENSG00000240268	gene
PRSS58	ENSG00000258223	gene
U66059.29	ENSG00000186163	gene
U66059.58	ENSG00000241881	gene
PRSS3P3	ENSG00000242115	gene
TRBV1	ENSG00000242736	gene
TRBV2	ENSG00000226660	gene
TRBV3-1	ENSG00000237702	gene
TRBV4-1	ENSG00000211710	gene
TRBV5-1	ENSG00000211734	gene
TRBV6-1	ENSG00000211706	gene
TRBV7-1	ENSG00000211707	gene
TRBV4-2	ENSG00000211745	gene
TRBV7-8	ENSG00000229200	gene
TRBV6-9	ENSG00000211732	gene
TRBV5-7	ENSG00000211731	gene
TRBV7-7	ENSG00000253291	gene
TRBV6-8	ENSG00000253534	gene
TRBV5-6	ENSG00000211728	gene
TRBV7-6	ENSG00000211727	gene
TRBV6-7	ENSG00000253188	gene
TRBV5-5	ENSG00000211725	gene
TRBV7-5	ENSG00000227550	gene
TRBV6-6	ENSG00000211724	gene
TRBV5-4	ENSG00000230099	gene
TRBV7-4	ENSG00000253409	gene
TRBV6-5	ENSG00000211721	gene
TRBV12-2	ENSG00000211739	gene
TRBV11-2	ENSG00000241657	gene
TRBV10-2	ENSG00000229769	gene
TRBV12-1	ENSG00000244661	gene
TRBV11-1	ENSG00000211720	gene
TRBV10-1	ENSG00000211717	gene
TRBV9	ENSG00000211716	gene
TRBV5-3	ENSG00000211715	gene
TRBV8-2	ENSG00000239944	gene
TRBV7-3	ENSG00000211714	gene
TRBV6-4	ENSG00000211713	gene
TRBV5-2	ENSG00000242771	gene
TRBV8-1	ENSG00000243889	gene
TRBV19	ENSG00000211746	gene
TRBV20-1	ENSG00000211747	gene
TRBV21-1	ENSG00000251578	gene
TRBV22-1	ENSG00000240578	gene
TRBV23-1	ENSG00000211749	gene
TRBV24-1	ENSG00000211750	gene
TRBV25-1	ENSG00000211751	gene
TRBVA	ENSG00000239992	gene
TRBV26	ENSG00000249912	gene
U66061.31	ENSG00000251060	gene
TRBVB	ENSG00000241911	gene
TRBV27	ENSG00000211752	gene
TRBV28	ENSG00000211753	gene
PGBD4P1	ENSG00000244273	gene
TRBV29-1	ENSG00000232869	gene
PRSS1	ENSG00000204983	gene
PRSS3P1	ENSG00000250591	gene
PRSS3P2	ENSG00000250606	gene
WBP1LP1	ENSG00000243661	gene
TRBJ2-1	ENSG00000211764	gene
TRBJ2-2	ENSG00000211765	gene
TRBJ2-2P	ENSG00000211766	gene
TRBJ2-3	ENSG00000211767	gene
TRBJ2-4	ENSG00000211768	gene
TRBJ2-5	ENSG00000211769	gene
TRBJ2-6	ENSG00000211770	gene
TRBJ2-7	ENSG00000211771	gene
TRBC2	ENSG00000211772	gene
TRBV30	ENSG00000237254	gene
EPHB6	ENSG00000106123	gene
TRPV6	ENSG00000165125	gene
RP11-114L10.2	ENSG00000224970	gene
TRPV5	ENSG00000127412	gene
C7orf34	ENSG00000165131	gene
